id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer,imdb_rating,imdb_votes,poster_path,year,profit,roi,imdb_url
870,Gladiators of Rome,5.7,141.0,Released,2012-10-18,10079201.0,94.0,40000000.0,tt1946347,it,Gladiatori di Roma,"A new hero is born in this hilarious, animated adventure of epic proportions! Timo, a student at the Gladiators? Academy in Rome, has no desire to become a legendary gladiator like his stepfather. That is, until the mesmerizing Lucilla walks into his life.  With the help of an unlikely band of sidekicks, Timo is determined to be the gladiator of her dreams and embarks on an action-packed journey to become the Colosseum?s first victor!",1.1805,Not Born to Be Gladiators,"Animation, Family",Rainbow,Italy,Italiano,"Fabrizio De Flaviis, Daniela Abbruzzese, Michele Cucuzza, Antonio Bonanotte, Massimo Corvo, Luigi Scribani, Jerry Mastrodomenico, Paolo Macedonio, Luca Argentero, Francesco Vairano, Alessandro Messina, Ilaria Latini, Belén Rodríguez, Gianluca Machelli, Enzo Avolio, Stefano Alessandroni, Francesco Sechi, Laura Chiatti, Gaetano Varcasia, Daniela Calò, Fabrizio Mazzotta, Ilaria Egitto, Emidio La Vella",Iginio Straffi,Gianmario Catania,"Iginio Straffi, Michael J. Wilson","Iginio Straffi, Joanne Lee",Bruno Zambrini,5.2,1687.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/2iqCDS2F47wvKvyQc2ozJD6aWD2.jpg,2012,0.0,0.0,https://www.imdb.com/title/tt1946347/
871,Killer Joe,6.5,1459.0,Released,2012-06-07,4633668.0,102.0,10000000.0,tt1726669,en,Killer Joe,A cop who moonlights as a hit man agrees to kill the hated mother of a desperate drug dealer in exchange for a tumble with the young man's virginal sister.,3.921,A Totally Deep-Fried Texas Redneck Trailer Park Murder Story.,"Crime, Thriller, Drama","ANA Media, Worldview Entertainment, Voltage Pictures, Picture Perfect Corporation",United States of America,English,"Emile Hirsch, Gralen Bryant Banks, Lynette Zumo, Charley Vance, Scott A. Martin, Jeff Galpin, Thomas Haden Church, Matthew McConaughey, Marc Macaulay, Danny Epper, Juno Temple, Carol Sutton, Gregory C. Bachaud, Julia Adams, Gina Gershon",William Friedkin,Caleb Deschanel,Tracy Letts,"Christopher Woodrow, Molly Conners, Zev Foreman, Scott Einbinder, Nicolas Chartier, Vicki Cherkas",Tyler Bates,6.7,85770.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/6Tt1TQeOI4TpXu1cBUgNGNGeznW.jpg,2012,0.0,0.0,https://www.imdb.com/title/tt1726669/
872,Fantasy Island,5.8,2505.0,Released,2020-02-12,49500000.0,109.0,7000000.0,tt0983946,en,Fantasy Island,"A group of contest winners arrive at an island hotel to live out their dreams, only to find themselves trapped in nightmare scenarios.",6.7161,Anything you desire. Everything you fear.,"Adventure, Fantasy, Horror, Mystery","Blumhouse Productions, Columbia Pictures, Tower of Babble Entertainment",United States of America,English,"Goran D. Kleut, Lucy Hale, Josh McConville, Maggie Q, Mike Vogel, Portia Doubleday, Michael Peña, Tane Williams-Accra, Robbie Jones, Tim Wong, Renée Murden, Ian Roberts, Josh Randall, Ryan Hansen, Kim Coates, Evan Evagora, Michael Rooker, Parisa Fitz-Henley, Austin Stowell, Jeriya Benn, Steven A. Davis, Charlotte McKinney, Nick Slater, Andrew Lees, Edmund Lembke-Hogan, Jimmy O. Yang, Joshua Diaz, Mark Weinhandl",Jeff Wadlow,Toby Oliver,"Jillian Jacobs, Gene Levitt, Jeff Wadlow, Christopher Roach","Couper Samuelson, Jeanette Volturno, Jeff Wadlow, Jason Blum, Marc Toberoff",Bear McCreary,4.9,61728.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/8ZMrZGGW65ePWIgRn1260nA1uUm.jpg,2020,42500000.0,607.1428571428571,https://www.imdb.com/title/tt0983946/
873,The Overnight,6.0,335.0,Released,2015-06-19,1100000.0,79.0,0.0,tt3844362,en,The Overnight,"Alex, Emily, and their son, RJ, are new to Los Angeles. A chance meeting at the park introduces them to the mysterious Kurt, Charlotte, and Max. A family “playdate” becomes increasingly interesting as the night goes on.",8.383,Get into the swing of things,"Mystery, Comedy","Duplass Brothers Productions, Gettin' Rad Productions",United States of America,"English, Français","RJ Hermes, Max Moritt, Ally Anderson, Taylor Schilling, Kyle Field, Jason Schwartzman, Sarah DeVincentis, Adam Scott, Judith Godrèche, Jim Turner, Susan Traylor",Patrick Brice,John Guleserian,Patrick Brice,"Jay Duplass, Mel Eslyn, Mark Duplass, Naomi Scott, Adam Scott",Julian Wass,6.1,17803.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/3XsGz8FbapcT8TsIeeTZrknJ2O8.jpg,2015,1100000.0,0.0,https://www.imdb.com/title/tt3844362/
874,The Opposite of Sex,6.1,202.0,Released,1998-05-22,5879254.0,105.0,5000000.0,tt0120777,en,The Opposite of Sex,"A 16-year-old girl visits her gay half-brother and ends up seducing his boyfriend, thus wreaking havoc on all of their lives.",4.122,"You'll laugh, you'll cry, you'll be offended","Comedy, Drama","Rysher Entertainment, David Kirkpatrick Productions, Michael Besman Productions",United States of America,English,"Leslie Grossman, Christina Ricci, Ivan Sergei, Megan Blake, Margaux St. Ledger, Colin Ferguson, Johnny Galecki, William Lee Scott, Lisa Kudrow, Becky Wahlstrom, Heather Fairfield, Lyle Lovett, Martin Donovan",Don Roos,Hubert Taczanowski,Don Roos,"David Paul Kirkpatrick, Michael Besman, Jim Lotfi, Steve Danton",Mason Daring,6.4,22014.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/xpILzxKHywYngftBC8AmvsqUfBj.jpg,1998,879254.0,17.58508,https://www.imdb.com/title/tt0120777/
875,Miami Blues,6.0,187.0,Released,1990-04-20,9888167.0,97.0,0.0,tt0100143,en,Miami Blues,"After Junior is released from prison, he plans on starting a new life in Miami. But when he kills a man in the airport, he flees the scene and finds Susie, a mild-mannered prostitute searching for stability. The two opposites become romantically involved, and Junior steals a badge and gun from a veteran detective. Using the officer's identity, Junior embarks on a crime spree and convinces Susie that he is the perfect man.",0.9293,Real badge. Real gun. Fake cop.,"Action, Crime, Drama, Thriller","Orion Pictures, Tristes Tropiques",United States of America,English,"Fred Ward, Buddy Joe Hooker, William Taylor Anderson Jr., Kerrie Clark, Steve Geng, Bobo Lewis, Julie Caitlin Brown, Nancy Duerr, Paul Gleason, Alec Baldwin, Gary Klar, Lisa Bell, Edward Knott III, Brent Armitage, Raphael Rey Gomez, Obba Babatundé, Maureen Fitzgibbon, Vic Hunter, Lou Garr, Nora Dunn, Charles Napier, Jennifer Jason Leigh, Cecilia Pérez-Cervera, Martine Beswick, Marc Mercury, Joe Hess, José Pérez, Wendy Thorlakson, Jack G. Spirtos, Kenneth Utt, Shirley Stoler, Patrick Cherry, Herb Goldstein, Georgie Cranford, Matt Ingersoll, Edward Saxon, Tony Paris, Roy Datz, Carmen López, Gary Goetzman, Tony Tracy",George Armitage,Tak Fujimoto,"George Armitage, Charles Willeford","Edward Saxon, Gary Goetzman, Fred Ward, Jonathan Demme",Gary Chang,6.4,10839.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/eOqOf2qG0sjsfhFdYp6SbZuorSF.jpg,1990,9888167.0,0.0,https://www.imdb.com/title/tt0100143/
876,After the Dark,6.079,687.0,Released,2013-07-06,1770376.0,107.0,0.0,tt1928340,en,After the Dark,"At an international school in Jakarta, a philosophy teacher challenges his class of twenty graduating seniors to choose which ten of them would take shelter underground and reboot the human race in the event of a nuclear apocalypse.",1.4897,Smart. Talented. Beautiful. Stranded.,"Drama, Fantasy, Science Fiction, Thriller","An Olive Branch Productions, SCTV","Indonesia, United States of America",English,"Kory Brown, Chanelle Bianca Ho, Jacob Artist, Katherine Robertson, Darius Homayoun, Chamroeun Bustraan, Rhys Wakefield, Toby Sebastian, Hope Olaidé Wilson, Katie Findlay, George Blagden, Julia Hodges, Philippa Coulthard, James D'Arcy, Erin Moriarty, Daryl Sabara, Jack Hooker, Cinta Laura Kiehl, Piper Hinson, Maia Mitchell, Freddie Stroma, Abhi Sinha, Asger Mariager, Melissa Le-Vu, James Moriarty, Sophie Lowe, Bonnie Wright, Melissa Kaskel, Endang Pratiwi, Michael Rougeau, Taser Hassan, Natasha Gott",John Huddles,John Radel,John Huddles,"Cybill Lui, John Huddles, George Zakk","Jonathan Davis, Nicholas O'Toole",5.6,24132.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/mTSBjTriWuvYp27dsTWF9hs25HB.jpg,2013,1770376.0,0.0,https://www.imdb.com/title/tt1928340/
877,When Worlds Collide,6.3,180.0,Released,1951-09-14,1600000.0,83.0,936000.0,tt0044207,en,When Worlds Collide,"When a group of astronomers calculate a star is on a course to slam into Earth, a few days before, it's accompanying planet will first pass close enough to the Earth to cause havoc on land and sea. They set about building a rocket so a few selected individuals can escape to the planet.",11.736,Planets destroy earth!,Science Fiction,Paramount Pictures,United States of America,"English, Français, हिन्दी, Português, Español","Hayden Rorke, Kirk Alyn, Robert Chapman, Barbara Rush, John Hoyt, Estelle Etterre, Gertrude Astor, Marcel De La Brosse, Edna Smith, Peter Hansen, Gay Nelson, Frank Cady, Mary Murphy, Richard Derr, Paul Frees, Gene Collins, Rachel Ames, James Congdon, Sandro Giglio, Larry Keating, Stephen Chase",Rudolph Maté,"W. Howard Greene, John F. Seitz","Philip Wylie, Edwin Balmer, Sydney Boehm",George Pal,Leith Stevens,6.6,9850.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/xUd6NOABGlU3TSNP42toxWhmMQ3.jpg,1951,664000.0,70.94017094017094,https://www.imdb.com/title/tt0044207/
878,Edward Scissorhands,7.716,13125.0,Released,1990-12-07,86024005.0,105.0,20000000.0,tt0099487,en,Edward Scissorhands,A small suburban town receives a visit from a castaway unfinished science experiment named Edward.,11.8925,Innocence is what he knows. Beauty is what she sees.,"Fantasy, Drama, Romance",20th Century Fox,United States of America,English,"Stuart Lancaster, Gina Gallagher, Tammy Boalo, Bea Albano, Kathy Dombo, Steven Brill, Aaron Lustig, Rosalyn Thomson, Kathy Baker, Ken DeVaul, Susan Blommaert, Winona Ryder, Donna Pieroni, Marti Greenberg, Tricia Lloyd, Lee Ralls, Dick Anthony Williams, Miriam Goodspeed, Kelli Crofton, Conchata Ferrell, Marc Macaulay, John Davidson, Carol Crumrine, Bill Klein, Dianne Wiest, Dianne L. Green, John McMahon, Ellin Dennis, Tim Rerucha, Peter Palmer, Alan Arkin, Kathy Lockwood, Eileen Meurer, Victoria Price, Jalaine Gallion, Mary Jane Heath, Linda Perri, Caroline Aaron, Suzanne Chrosniak, Andrew B. Clark, Phil Olson, Johnny Depp, Bryan Larkin, Michael Gaughan, Roland Douville, Alan Fudge, Laura Nader, Jack W. Kapfhamer, Vincent Price, Anthony Michael Hall, Harvey Bellman, Robert Oliveri, Gary Clark, Linda Jean Hess, Joe Sheldon, Sherry Ferguson, Doyle Anderson, Carmen J. Alexander, Brett Rice, Michael Brown, Rex Fox, Biff Yeager, James Spicer, Carol D. Klasek, Jackie Carson, O-Lan Jones, Cecil Hawkins, Russell E. Green, Tabetha Thomas",Tim Burton,Stefan Czapsky,"Tim Burton, Caroline Thompson","Denise Di Novi, Richard Hashimoto, Tim Burton",Danny Elfman,7.8,545873.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/e0FqKFvGPdQNWG8tF9cZBtev9Em.jpg,1990,66024005.0,330.120025,https://www.imdb.com/title/tt0099487/
879,Irandam Ulagam,4.906,16.0,Released,2013-11-22,0.0,158.0,9200000.0,tt3107246,ta,இரண்டாம் உலகம்,"A young man's lover dies in a freak accident, saddened by this he tries to kill himself by driving his car over a hilltop. A portal opens through an alternate universe and, rescued by his look-alike, he finally meets his lover.",2.586,How far will you travel for love?,"Action, Romance, Fantasy",PVP Cinema,India,தமிழ்,"Venkatesh Harinathan, Ashok Kumar, Padma Raman, Anushka Shetty, Arya, Selva, Yashmith",Selvaraghavan,Ramji,Selvaraghavan,Prasad Vara Potluri,Harris Jayaraj,5.7,1473.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/4iIZotqK2zkbWUADRGkDItwnxiA.jpg,2013,0.0,0.0,https://www.imdb.com/title/tt3107246/
880,Hot Rod,6.4,999.0,Released,2007-08-03,14353654.0,88.0,25000000.0,tt0787475,en,Hot Rod,"For Rod Kimble, performing stunts is a way of life, even though he is rather accident-prone. Poor Rod cannot even get any respect from his stepfather, Frank, who beats him up in weekly sparring matches. When Frank falls ill, Rod devises his most outrageous stunt yet to raise money for Frank's operation -- and then Rod will kick Frank's butt.",3.9152,Smack destiny in the face.,"Comedy, Action","Paramount Pictures, Broadway Video, Michaels-Goldwyn, The Lonely Island",United States of America,English,"Ometa Gittens, Joseph Castillo, Aaron Au, Alain Moschulski, Matthew Gallagher, Isla Fisher, Doug Abrahams, Jesse Haddock, Charlie Hope, Patricia Schaffer, Sammy Fattedad, Mark Acheson, Troy Van Leeuwen, Terri O'Neill, John Burnside, Elizabeth McCarthy, Bill Hader, Stephen Altman, Titan Toyish, Brittany Tiplady, Chester Tam, Mi-Jung Lee, Britt Irvin, Paulo Ribeiro, Joshua Homme, Brett Chan, Viktoria Kampbell, Henry Michaels, Will Arnett, Frank C. Turner, Sissy Spacek, Tom MacNeill, Carly McKillip, Jorma Taccone, Akiva Schaffer, Ryan Hess, Andrew Moxham, Donavon Stinson, Ian McShane, Chris Eastman, John Destry, William S. Taylor, Marjorie Roden, Danny McBride, Gillian Barber, Andy Samberg, Paul Herbert, Carrie Ruscheinsky, Alana Husband, Chris Parnell, Ken Kirzinger, Alvin Sanders, Jennifer LaPlaca, Meghan K. Lees",Akiva Schaffer,Andrew Dunn,Pam Brady,"Jimmy Miller, Will Ferrell, John Goldwyn, Jill Messick, Seth Meyers, Erin David, Lorne Michaels",Trevor Rabin,6.7,96355.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/jRkt03dXCVKnbvcQm3ygU1cjg9Y.jpg,2007,0.0,0.0,https://www.imdb.com/title/tt0787475/
881,Muriel's Wedding,6.8,455.0,Released,1994-09-29,15119639.0,106.0,3000000.0,tt0110598,en,Muriel's Wedding,"A young social outcast in Australia steals money from her parents to finance a vacation where she hopes to find happiness, and perhaps love.",1.9329,Success is the best revenge.,"Comedy, Drama, Romance","CiBy 2000, Film Victoria, House & Moorhouse Films","Australia, France","English, 日本語","Kirsty Hinchcliffe, Dene Kermond, Troy Hardy, Des Rodgers, Sophie Lee, Richard Sutherland, Gennie Nevinson, Heidi Lapaine, Katie Saunders, Louise Cullen, John Walton, Cecily Polson, Fiona Sullivan, Annie Byron, Robert Alexander, Basil Clarke, Jacqueline Linke, Pippa Grandison, Geneviève Picot, Di Smith, Matt Day, Chris Haywood, Jeamin Lee, John Hoare, Julian Garner, Richard Morecroft, Belinda Jarrett, John Gaden, Toni Collette, Susan Prior, Barry Crocker, Craig Olson, Kuni Hashimoto, Penne Hackforth-Jones, Alvaro Marques, Kevin Copeland, Roz Hammond, Steve Smith, Richard Carter, Fred Rouady, Jeanie Drynan, Bill Hunter, Daniel Hepner, Gabby Millgate, Daniel Lapaine, Robyn Pitt Owen, Rob Steele, Rodney Arnold, Jon-Claire Lee, Vincent Ball, Dan Wyllie, Justin Witham, Rachel Griffiths, Ineke Rapp, Scott Hall-Watson, Rohan Jones, Darrin Klimek, Nathan Kaye, Frankie Davidson, Heather Mitchell, Ken Senga, James Schramko",P.J. Hogan,Martin McGrath,P.J. Hogan,"Jocelyn Moorhouse, Lynda House",Peter Best,7.2,43797.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/zJyTr8Fo412a2OIfJGXTRAm4IwX.jpg,1994,12119639.0,403.9879666666667,https://www.imdb.com/title/tt0110598/
882,Payback,6.834,1857.0,Released,1999-02-05,161626121.0,100.0,90000000.0,tt0120784,en,Payback,"With friends like these, who needs enemies? That's the question bad guy Porter is left asking after his wife and partner steal his heist money and leave him for dead -- or so they think. Five months and an endless reservoir of bitterness later, Porter's partners and the crooked cops on his tail learn how bad payback can be.",3.4555,Get ready to root for the bad guy.,"Action, Drama, Crime, Thriller","Icon Productions, Paramount Pictures",United States of America,English,"Jeff Imada, David Paymer, Elizabeth Berridge, Kris Kristofferson, Bill Duke, Maria Bello, James Coburn, David Dunard, William Devane, Len Bajenski, Mel Gibson, John Glover, Kwame Amoaku, Jovanna Vitiello, Mark Alfa, Freddy Rodríguez, Deborah Kara Unger, Lucy Liu, Kate Buddeke, Trevor St. John, Gregg Henry, Justin Ashforth, Jack Conley, Price Carson",Brian Helgeland,Ericson Core,"Terry Hayes, Donald E. Westlake, Brian Helgeland","Bruce Davey, Stephen McEveety",Chris Boardman,7.1,149768.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/8Bqlv2kbOyZFqfiPNgzdBscqYPn.jpg,1999,71626121.0,79.58457888888888,https://www.imdb.com/title/tt0120784/
883,Detention of the Dead,4.899,84.0,Released,2012-04-27,0.0,87.0,500000.0,tt1865346,en,Detention of the Dead,A group of oddball high school students find themselves trapped in detention with their classmates having turned into a horde of Zombies.,5.614,"When there's no more room in Hell, the dead will go to DETENTION!","Comedy, Horror",Gala Films,United States of America,English,"Justin Chon, Adam DeFilippi, Michele Messmer , Bernie Allemon, Max Adler, Alexa Nikolas, Jacob Zachar, Joseph Porter, Christa B. Allen, Richard Jewell, John Migliore, Jayson Blair, Jonathan Coogan",Alex Craig Mann,Noah Rosenthal,Alex Craig Mann,"Michael Manasseri, Brooke Anderson",Cody Westheimer,4.5,2863.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/tf2baOEkFodZ5NYXMfb7gxcZgV.jpg,2012,0.0,0.0,https://www.imdb.com/title/tt1865346/
884,Santosh,7.1,39.0,Released,2024-07-17,1097812.0,128.0,2500000.0,tt30444418,hi,संतोष,"A government scheme sees newly widowed Santosh inherit her husband’s job as a police constable in the rural badlands of Northern India. When a low-caste girl is found raped and murdered, she is pulled into the investigation under the wing of charismatic feminist inspector Sharma.",6.7643,Nothing is more dangerous than following orders.,"Crime, Drama, Thriller","Good Chaos, Haut et Court, Razor Film Produktion, MK2 Films, Suitable Pictures, ZDF/Arte, L'Aide aux Cinémas du Monde, CNC, Institut Français","France, Germany, United Kingdom",हिन्दी,"Rajeshwari, Anjani Srivastava, Nandini Tharu, Mridula Bhardwaj, Tarun Pratap Singh, Munna, Umakant Maurya, Soumya Singh, Niyaz Ahmad Khan, Anuj Yadav, Nirmala Kashyap, Pooja, Soniya Singh, Rakesh Sharma, Prashant Kumar, Sujeet Singh Yadav, Rakesh Kumar, Anjali, Abhishek Yadav, Kushal Dubey, Sangama Tharu, Kuldeep Saini, Anil Gudiya, Ashish Kumar, Shweta Jaiswal, Pratibha Awasthi, Akarsh Srivastava, Shashi Beniwal, Ananya Thakur, Prakash 'Kallu' Kumar, Harshit Shukla, Jaya Varma, Shahana Goswami, Cheddilal, Brij Bhushan Shukla, Abhishek Kumar, Arshan Siddique, Zubair Siddiqui, Shane Ahmad, Shiv Deen Singh, Ravi Gupta, Mohammad Arif, Arpit Kumar Mishra, Pradeep Kumar, Anamika Gupta, Hariyali, Arvind Kumar, Ashutosh Tripathi, Dilip, Prabhat Kumar Lahiri, Avinash Baba, Aman, Naval Shukla, Tiger, Jitendra Singh, Afzal, Abhay Bachpaye, Ajay Kumar Gaudh, Salman Khan, Anand Kumar Pal, Ashok Kumar Yadav, Yogi Yadav, Manju Gupta, Swarnim Srivastava, Sonam Gupta, Ashish Mishra, Ram Kumari, Ravi Tripathy, Ashok Kumar, Jamil Warsi, Vishal Singh, Preeti Singh, Yashika Tyagi, Sunil Thakur, Niyaz Khan, Komal, Ashok Yadav, Rajesh Kumar Awasthi, Shubham Katiyar, Ayush Shahi, Megha Chauhan, Yogesh Mudgal, Ram Kishore, Zuber Ahmad, Akriti Vishwakarma, Arbaz Khan, Sunita Rajwar, Piyush, Vipin Agarwal, Asif Rahman, Shashi Kiran Yadav, Geeta Tyagi, Manjul Azad, Arvi, Deepak Sonkar, Gotendra Yadav, Amna, Nadir Ali, Sanjay Bishnoi",Sandhya Suri,Lennert Hillege,"Gaia Eklington, Rajesh Thanickan, Sandhya Suri","James Bowsher, Martin Gerhard, Diarmid Scrimshaw, Alan McAlex, Eva Yates, Lucia Haslauer, Balthazar De Ganay, Ama Ampadu, Mike Goodridge",Luisa Gerstein,7.1,2135.0,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/c4LdJKjE7Du2ofKsyDrmwZs9u5m.jpg,2024,0.0,0.0,https://www.imdb.com/title/tt30444418/
